model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
SVC,0,0,0,0,0.0,0,0,0,0,0,0.1,0,rbf,1.0,1.0,1.0,1.0,0.12068,8,2,18185,12,2045830,2001.49397,690.15708
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,100,0,1.0,1.0,1.0,1.0,0.03129,8,2,18185,12,2045830,2001.49397,690.15708
Random Forest ,gini,3,10,log2,0.0,50,0,0,0,0,0.0,0,0,1.0,1.0,1.0,1.0,0.17216,8,2,18185,12,2045830,2001.49397,690.15708
Decision Tree,gini,2,1,,0.0,0,0,0,0,0,0.0,0,0,1.0,1.0,1.0,1.0,0.03288,8,2,18185,12,2045830,2001.49397,690.15708
K Nearest Neighbors,0,0,0,0,0.0,0,5,minkowski,0,0,0.0,0,0,1.0,1.0,1.0,1.0,0.04089,8,2,18185,12,2045830,2001.49397,690.15708
Decision Tree,entropy,2,2,log2,0.0,0,0,0,0,0,0.0,0,0,0.998,0.998,0.998,0.998,0.01293,8,2,18185,12,2045830,2001.49397,690.15708
Random Forest ,gini,3,4,log2,0.0,50,0,0,0,0,0.0,0,0,0.999,0.999,0.998,0.998,0.17151,8,2,18185,12,2045830,2001.49397,690.15708
Decision Tree,gini,2,7,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.996,0.996,0.997,0.997,0.00998,8,2,18185,12,2045830,2001.49397,690.15708
Random Forest ,gini,3,2,log2,0.0,50,0,0,0,0,0.0,0,0,0.997,0.997,0.997,0.997,0.1725,8,2,18185,12,2045830,2001.49397,690.15708
Decision Tree,gini,2,2,log2,0.0,0,0,0,0,0,0.0,0,0,0.993,0.993,0.995,0.995,0.00997,8,2,18185,12,2045830,2001.49397,690.15708
Decision Tree,gini,2,1,log2,0.0,0,0,0,0,0,0.0,0,0,0.994,0.994,0.994,0.994,0.01101,8,2,18185,12,2045830,2001.49397,690.15708
NaiveBayes,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.991,0.991,0.993,0.993,0.00563,8,2,18185,12,2045830,2001.49397,690.15708
Decision Tree,gini,2,4,auto,0.0,0,0,0,0,0,0.0,0,0,0.992,0.992,0.993,0.993,0.01097,8,2,18185,12,2045830,2001.49397,690.15708
Random Forest ,gini,2,4,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.995,0.995,0.993,0.993,0.13671,8,2,18185,12,2045830,2001.49397,690.15708
Random Forest ,gini,1,2,log2,0.0,50,0,0,0,0,0.0,0,0,0.992,0.992,0.992,0.992,0.10533,8,2,18185,12,2045830,2001.49397,690.15708
Decision Tree,entropy,2,6,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.991,0.991,0.991,0.991,0.01296,8,2,18185,12,2045830,2001.49397,690.15708
Random Forest ,gini,1,20,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.99,0.99,0.99,0.99,0.11149,8,2,18185,12,2045830,2001.49397,690.15708
Decision Tree,gini,2,1,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.989,0.989,0.99,0.99,0.01097,8,2,18185,12,2045830,2001.49397,690.15708
