model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration
K Nearest Neighbors,0,0,0,0,0,0,5,minkowski,0,0,0,0,0,0.785,0.785,0.699,0.698,0.003
K Nearest Neighbors,0,0,0,0,0,0,5,euclidean,0,0,0,0,0,0.798,0.798,0.783,0.785,0.00321
K Nearest Neighbors,0,0,0,0,0,0,5,manhattan,0,0,0,0,0,0.776,0.776,0.663,0.664,0.00199
K Nearest Neighbors,0,0,0,0,0,0,5,chebyshev,0,0,0,0,0,0.792,0.789,0.723,0.723,0.00553
K Nearest Neighbors,0,0,0,0,0,0,6,minkowski,0,0,0,0,0,0.779,0.775,0.723,0.714,0.00199
K Nearest Neighbors,0,0,0,0,0,0,6,euclidean,0,0,0,0,0,0.773,0.768,0.711,0.71,0.002
K Nearest Neighbors,0,0,0,0,0,0,6,manhattan,0,0,0,0,0,0.776,0.77,0.771,0.769,0.001
K Nearest Neighbors,0,0,0,0,0,0,6,chebyshev,0,0,0,0,0,0.776,0.772,0.687,0.681,0.001
K Nearest Neighbors,0,0,0,0,0,0,7,minkowski,0,0,0,0,0,0.77,0.77,0.771,0.768,0.00104
K Nearest Neighbors,0,0,0,0,0,0,7,euclidean,0,0,0,0,0,0.767,0.766,0.699,0.697,0.00103
K Nearest Neighbors,0,0,0,0,0,0,7,manhattan,0,0,0,0,0,0.755,0.753,0.735,0.734,0.00104
K Nearest Neighbors,0,0,0,0,0,0,7,chebyshev,0,0,0,0,0,0.785,0.785,0.663,0.655,0.00151
K Nearest Neighbors,0,0,0,0,0,0,8,minkowski,0,0,0,0,0,0.764,0.761,0.783,0.78,0.00198
K Nearest Neighbors,0,0,0,0,0,0,8,euclidean,0,0,0,0,0,0.776,0.774,0.771,0.763,0.00203
K Nearest Neighbors,0,0,0,0,0,0,8,manhattan,0,0,0,0,0,0.758,0.755,0.723,0.713,0.00204
K Nearest Neighbors,0,0,0,0,0,0,8,chebyshev,0,0,0,0,0,0.746,0.742,0.711,0.709,0.00151
K Nearest Neighbors,0,0,0,0,0,0,9,minkowski,0,0,0,0,0,0.764,0.764,0.759,0.761,0.00201
K Nearest Neighbors,0,0,0,0,0,0,9,euclidean,0,0,0,0,0,0.801,0.8,0.675,0.676,0.001
K Nearest Neighbors,0,0,0,0,0,0,9,manhattan,0,0,0,0,0,0.764,0.763,0.759,0.759,0.001
K Nearest Neighbors,0,0,0,0,0,0,9,chebyshev,0,0,0,0,0,0.755,0.753,0.711,0.712,0.001
K Nearest Neighbors,0,0,0,0,0,0,10,minkowski,0,0,0,0,0,0.743,0.739,0.747,0.741,0.00055
K Nearest Neighbors,0,0,0,0,0,0,10,euclidean,0,0,0,0,0,0.758,0.755,0.711,0.709,0.00196
K Nearest Neighbors,0,0,0,0,0,0,10,manhattan,0,0,0,0,0,0.798,0.792,0.602,0.601,0.00204
K Nearest Neighbors,0,0,0,0,0,0,10,chebyshev,0,0,0,0,0,0.731,0.725,0.663,0.661,0.00156
K Nearest Neighbors,0,0,0,0,0,0,11,minkowski,0,0,0,0,0,0.764,0.763,0.759,0.763,0.0019
K Nearest Neighbors,0,0,0,0,0,0,11,euclidean,0,0,0,0,0,0.752,0.751,0.687,0.684,0.00145
K Nearest Neighbors,0,0,0,0,0,0,11,manhattan,0,0,0,0,0,0.749,0.748,0.711,0.712,0.00251
K Nearest Neighbors,0,0,0,0,0,0,11,chebyshev,0,0,0,0,0,0.749,0.749,0.675,0.674,0.00196
K Nearest Neighbors,0,0,0,0,0,0,12,minkowski,0,0,0,0,0,0.767,0.764,0.747,0.741,0.001
K Nearest Neighbors,0,0,0,0,0,0,12,euclidean,0,0,0,0,0,0.752,0.747,0.723,0.714,0.002
K Nearest Neighbors,0,0,0,0,0,0,12,manhattan,0,0,0,0,0,0.755,0.751,0.735,0.727,0.00099
K Nearest Neighbors,0,0,0,0,0,0,12,chebyshev,0,0,0,0,0,0.716,0.71,0.735,0.727,0.00196
K Nearest Neighbors,0,0,0,0,0,0,13,minkowski,0,0,0,0,0,0.743,0.742,0.735,0.734,0.00101
K Nearest Neighbors,0,0,0,0,0,0,13,euclidean,0,0,0,0,0,0.761,0.759,0.711,0.712,0.00101
K Nearest Neighbors,0,0,0,0,0,0,13,manhattan,0,0,0,0,0,0.755,0.755,0.663,0.669,0.00201
K Nearest Neighbors,0,0,0,0,0,0,13,chebyshev,0,0,0,0,0,0.743,0.743,0.723,0.718,0.00201
K Nearest Neighbors,0,0,0,0,0,0,14,minkowski,0,0,0,0,0,0.755,0.75,0.651,0.647,0.00104
K Nearest Neighbors,0,0,0,0,0,0,14,euclidean,0,0,0,0,0,0.755,0.751,0.639,0.627,0.002
K Nearest Neighbors,0,0,0,0,0,0,14,manhattan,0,0,0,0,0,0.743,0.74,0.747,0.741,0.00203
K Nearest Neighbors,0,0,0,0,0,0,14,chebyshev,0,0,0,0,0,0.764,0.76,0.639,0.626,0.00205
K Nearest Neighbors,0,0,0,0,0,0,15,minkowski,0,0,0,0,0,0.746,0.745,0.675,0.675,0.00196
K Nearest Neighbors,0,0,0,0,0,0,15,euclidean,0,0,0,0,0,0.731,0.729,0.771,0.771,0.001
K Nearest Neighbors,0,0,0,0,0,0,15,manhattan,0,0,0,0,0,0.758,0.757,0.759,0.759,0.00097
K Nearest Neighbors,0,0,0,0,0,0,15,chebyshev,0,0,0,0,0,0.758,0.757,0.651,0.649,0.001
K Nearest Neighbors,0,0,0,0,0,0,16,minkowski,0,0,0,0,0,0.749,0.744,0.687,0.682,0.001
K Nearest Neighbors,0,0,0,0,0,0,16,euclidean,0,0,0,0,0,0.731,0.729,0.759,0.753,0.00099
K Nearest Neighbors,0,0,0,0,0,0,16,manhattan,0,0,0,0,0,0.761,0.759,0.675,0.663,0.00099
K Nearest Neighbors,0,0,0,0,0,0,16,chebyshev,0,0,0,0,0,0.758,0.754,0.699,0.695,0.002
K Nearest Neighbors,0,0,0,0,0,0,17,minkowski,0,0,0,0,0,0.77,0.769,0.639,0.633,0.002
K Nearest Neighbors,0,0,0,0,0,0,17,euclidean,0,0,0,0,0,0.761,0.759,0.711,0.712,0.002
K Nearest Neighbors,0,0,0,0,0,0,17,manhattan,0,0,0,0,0,0.776,0.775,0.566,0.561,0.002
K Nearest Neighbors,0,0,0,0,0,0,17,chebyshev,0,0,0,0,0,0.755,0.753,0.687,0.685,0.00195
K Nearest Neighbors,0,0,0,0,0,0,18,minkowski,0,0,0,0,0,0.761,0.758,0.687,0.687,0.001
K Nearest Neighbors,0,0,0,0,0,0,18,euclidean,0,0,0,0,0,0.758,0.756,0.651,0.653,0.002
K Nearest Neighbors,0,0,0,0,0,0,18,manhattan,0,0,0,0,0,0.77,0.767,0.723,0.722,0.002
K Nearest Neighbors,0,0,0,0,0,0,18,chebyshev,0,0,0,0,0,0.725,0.723,0.687,0.687,0.00452
K Nearest Neighbors,0,0,0,0,0,0,19,minkowski,0,0,0,0,0,0.749,0.748,0.723,0.722,0.001
K Nearest Neighbors,0,0,0,0,0,0,19,euclidean,0,0,0,0,0,0.752,0.751,0.687,0.687,0.001
K Nearest Neighbors,0,0,0,0,0,0,19,manhattan,0,0,0,0,0,0.758,0.757,0.663,0.662,0.00101
K Nearest Neighbors,0,0,0,0,0,0,19,chebyshev,0,0,0,0,0,0.734,0.734,0.711,0.707,0.002
K Nearest Neighbors,0,0,0,0,0,0,20,minkowski,0,0,0,0,0,0.755,0.751,0.735,0.726,0.002
K Nearest Neighbors,0,0,0,0,0,0,20,euclidean,0,0,0,0,0,0.764,0.762,0.675,0.665,0.002
K Nearest Neighbors,0,0,0,0,0,0,20,manhattan,0,0,0,0,0,0.737,0.734,0.699,0.696,0.001
K Nearest Neighbors,0,0,0,0,0,0,20,chebyshev,0,0,0,0,0,0.734,0.728,0.639,0.637,0.00203
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,rbf,0.755,0.75,0.795,0.794,0.006
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,poly,0.752,0.746,0.783,0.777,0.00451
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,sigmoid,0.538,0.399,0.554,0.395,0.00551
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,linear,0.713,0.701,0.675,0.666,0.00352
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,rbf,0.773,0.766,0.639,0.625,0.004
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,poly,0.77,0.764,0.675,0.656,0.00502
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,sigmoid,0.474,0.407,0.422,0.367,0.00495
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,linear,0.722,0.709,0.675,0.673,0.00301
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,rbf,0.773,0.769,0.807,0.807,0.00503
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,poly,0.743,0.731,0.675,0.663,0.0065
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,sigmoid,0.414,0.388,0.398,0.379,0.00663
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,linear,0.725,0.718,0.687,0.678,0.004
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,rbf,0.789,0.785,0.699,0.695,0.004
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,poly,0.764,0.76,0.759,0.758,0.01248
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,sigmoid,0.396,0.382,0.313,0.32,0.007
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,linear,0.719,0.707,0.759,0.748,0.003
SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,rbf,0.782,0.779,0.687,0.681,0.005
SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,poly,0.758,0.75,0.747,0.744,0.00851
SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,sigmoid,0.369,0.36,0.422,0.388,0.00652
SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,linear,0.74,0.73,0.663,0.651,0.003
SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,rbf,0.773,0.771,0.783,0.785,0.00451
SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,poly,0.789,0.783,0.639,0.613,0.00953
SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,sigmoid,0.381,0.372,0.337,0.339,0.00852
SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,linear,0.755,0.746,0.627,0.605,0.00301
SVC,0,0,0,0,0,0,0,0,0,0,0.7,0,rbf,0.773,0.767,0.783,0.782,0.004
SVC,0,0,0,0,0,0,0,0,0,0,0.7,0,poly,0.731,0.717,0.759,0.751,0.01159
SVC,0,0,0,0,0,0,0,0,0,0,0.7,0,sigmoid,0.378,0.373,0.349,0.342,0.00662
SVC,0,0,0,0,0,0,0,0,0,0,0.7,0,linear,0.737,0.733,0.723,0.712,0.003
SVC,0,0,0,0,0,0,0,0,0,0,0.8,0,rbf,0.773,0.768,0.735,0.73,0.00404
SVC,0,0,0,0,0,0,0,0,0,0,0.8,0,poly,0.767,0.757,0.687,0.674,0.01269
SVC,0,0,0,0,0,0,0,0,0,0,0.8,0,sigmoid,0.363,0.358,0.41,0.409,0.00496
SVC,0,0,0,0,0,0,0,0,0,0,0.8,0,linear,0.749,0.745,0.687,0.688,0.00356
SVC,0,0,0,0,0,0,0,0,0,0,0.9,0,rbf,0.773,0.769,0.771,0.768,0.00456
SVC,0,0,0,0,0,0,0,0,0,0,0.9,0,poly,0.761,0.753,0.687,0.666,0.01607
SVC,0,0,0,0,0,0,0,0,0,0,0.9,0,sigmoid,0.381,0.38,0.337,0.346,0.00601
SVC,0,0,0,0,0,0,0,0,0,0,0.9,0,linear,0.746,0.741,0.723,0.716,0.00403
SVC,0,0,0,0,0,0,0,0,0,0,1.0,0,rbf,0.795,0.791,0.843,0.843,0.00455
SVC,0,0,0,0,0,0,0,0,0,0,1.0,0,poly,0.767,0.76,0.687,0.67,0.01352
SVC,0,0,0,0,0,0,0,0,0,0,1.0,0,sigmoid,0.366,0.366,0.386,0.388,0.00555
SVC,0,0,0,0,0,0,0,0,0,0,1.0,0,linear,0.731,0.722,0.711,0.696,0.00401
SVC,0,0,0,0,0,0,0,0,0,0,1.1,0,rbf,0.801,0.797,0.759,0.759,0.00396
SVC,0,0,0,0,0,0,0,0,0,0,1.1,0,poly,0.773,0.769,0.723,0.717,0.01417
SVC,0,0,0,0,0,0,0,0,0,0,1.1,0,sigmoid,0.366,0.364,0.398,0.394,0.00564
SVC,0,0,0,0,0,0,0,0,0,0,1.1,0,linear,0.728,0.723,0.723,0.72,0.004
SVC,0,0,0,0,0,0,0,0,0,0,1.2,0,rbf,0.804,0.801,0.759,0.757,0.00906
SVC,0,0,0,0,0,0,0,0,0,0,1.2,0,poly,0.795,0.789,0.687,0.672,0.01902
SVC,0,0,0,0,0,0,0,0,0,0,1.2,0,sigmoid,0.36,0.36,0.41,0.405,0.00643
SVC,0,0,0,0,0,0,0,0,0,0,1.2,0,linear,0.734,0.729,0.723,0.716,0.00352
SVC,0,0,0,0,0,0,0,0,0,0,1.3,0,rbf,0.813,0.812,0.699,0.7,0.00561
SVC,0,0,0,0,0,0,0,0,0,0,1.3,0,poly,0.761,0.752,0.675,0.664,0.02379
SVC,0,0,0,0,0,0,0,0,0,0,1.3,0,sigmoid,0.387,0.387,0.313,0.31,0.005
