,Run,Event,pt1,eta1,phi1,Q1,pt2,eta2,phi2,Q2,class
0,166784,20257329,42.913,-1.3248,-3.0057,-1,42.2897,-0.6624,0.3485,1,Zmumu
1,163261,64679856,39.8744,-0.0057,-0.7744,-1,36.3997,1.371,2.2952,1,Zee
2,165570,196860468,72.9296,-0.4162,0.9198,1,39.541,-0.268,-1.4629,1,Zee
3,172163,497791581,33.4436,0.3063,-1.6034,1,27.2395,-1.6182,1.5315,-1,Zee
4,173692,550966077,43.9826,0.4276,-0.3876,-1,29.7856,-0.308,2.8965,1,Zmumu
5,166033,486574461,48.5155,1.2482,2.7103,-1,43.6595,1.0228,-0.4599,1,Zmumu
6,166784,78839184,34.4852,-1.9857,-2.1341,-1,52.6337,-1.2483,1.1644,1,Zmumu
7,166782,384018241,55.5556,0.037,-2.3322,1,48.4521,-0.3894,1.9503,-1,Zee
8,173692,1220554853,39.2777,-2.2333,-0.0188,1,44.2962,-1.07,-2.5902,-1,Zmumu
9,163817,611067598,33.6161,1.4014,-1.0681,-1,36.9423,-0.2119,1.7081,1,Zee
10,166923,170807549,27.294,-0.9795,2.4967,-1,38.4666,1.4119,-0.6945,-1,Zee
11,172014,200438395,29.4147,-0.2894,3.0421,1,30.8245,-2.1763,-0.2645,-1,Zee
12,167102,314044750,20.9128,-0.903,2.112,-1,19.3348,1.9096,-1.0992,1,Zmumu
13,167102,290171315,41.3069,1.9692,3.0625,1,41.0528,0.6324,1.1673,-1,Zmumu
14,173430,199944791,37.0747,1.0681,2.1232,-1,39.8131,-0.0739,-0.8972,1,Zmumu
15,173389,507826220,26.3442,-0.754,2.5005,1,77.8884,-1.628,-1.0916,1,Zee
16,173381,231944674,35.845,-0.3689,-2.8679,1,47.9881,-0.3649,0.9116,-1,Zmumu
17,167102,374638947,39.3563,-1.7153,-2.6521,1,35.534,-0.4095,0.3405,-1,Zmumu
18,163817,610616843,28.3804,1.9148,-1.4398,1,39.5451,2.1072,1.4604,1,Zee
19,166049,232780420,69.1195,0.3349,2.9302,-1,33.0658,-0.308,0.1936,1,Zee
20,172802,315704070,35.4769,0.1082,-0.5035,1,48.3702,1.1186,2.6316,-1,Zee
21,170759,420228345,28.8444,0.8046,2.5911,1,27.789,-1.2302,0.1192,-1,Zee
22,173381,181733497,36.0246,-1.5364,1.9028,-1,31.8214,-0.0447,-1.4305,1,Zmumu
23,173692,371458626,10.7333,-1.9365,-0.2734,1,17.1353,1.0434,-2.9982,1,Zmumu
24,167830,334624160,27.6033,-1.4103,-1.9816,-1,26.2372,-0.3442,1.267,-1,Zee
25,167102,309302213,61.6833,-0.4737,-0.3694,-1,27.4612,-0.3881,2.3433,1,Zmumu
26,165548,638756417,34.5434,2.043,-1.1254,-1,31.9998,0.4707,2.1072,1,Zmumu
27,165617,97682592,38.5366,-1.2049,-0.1088,-1,39.2787,-0.2111,3.0173,1,Zmumu
28,173381,184996544,45.7043,-0.6712,1.0907,-1,65.1457,-0.8465,-2.2894,1,Zmumu
29,166966,63226962,51.2708,1.8383,-0.3696,-1,67.7673,1.4369,2.3924,-1,Zee
30,167913,54188439,46.6808,0.678,-0.6362,1,25.236,1.9345,2.5487,-1,Zee
31,163796,126991552,42.1975,0.8138,-1.112,-1,49.4611,0.8998,1.7081,1,Zmumu
32,167102,358067517,30.4352,0.094,-0.0955,1,43.2817,0.8699,3.0066,-1,Zmumu
33,173430,207901032,50.0996,-1.6982,0.7294,-1,39.5241,-1.5328,-2.5693,1,Zmumu
34,163589,51472229,40.8855,0.0582,-2.9365,1,44.5232,0.0446,0.1972,-1,Zmumu
35,160957,4912136,16.8386,-2.135,-0.1354,-1,21.4929,0.9497,1.534,1,Zmumu
36,173692,542174274,33.5433,-0.5212,-1.0227,1,51.852,0.3592,2.4563,-1,Zmumu
37,166923,110701675,38.9819,0.2459,-2.4803,-1,56.776,-0.3557,0.9312,1,Zee
38,173381,155353279,42.418,-0.3463,-1.8219,1,46.414,0.3461,1.6056,-1,Zmumu
39,173692,353996578,36.926,2.0607,-0.7713,1,32.3419,0.3994,2.3037,-1,Zmumu
40,166895,111007189,38.4659,1.439,0.3163,1,49.3218,1.1023,-2.7333,-1,Zmumu
41,165617,155363814,38.4536,-1.5576,2.8339,-1,54.991,-1.4465,-0.1124,1,Zmumu
42,167098,259815804,38.044,-1.8831,-2.5502,-1,44.1082,-0.9014,0.5095,1,Zee
43,172163,319741612,39.9123,0.4474,-3.0542,-1,45.5973,-0.2914,-0.0102,1,Zee
44,167102,321826086,18.6871,-1.3992,-1.987,-1,47.3828,0.7155,2.1137,1,Zmumu
45,173692,1215625724,42.2413,-1.2846,1.7928,1,36.8105,-2.4039,-1.6065,-1,Zmumu
46,167807,1113755177,26.4572,-1.548,1.8922,1,25.8162,0.786,-1.0474,-1,Zmumu
47,167098,32345172,26.9581,-1.1665,2.0181,-1,27.5862,1.323,-1.1916,-1,Zee
48,165548,621653144,65.8592,1.689,-0.6819,1,35.3003,0.7528,1.2928,-1,Zmumu
49,167913,77113316,25.4435,2.4251,0.2548,1,30.4992,0.4594,-2.8496,1,Zee
50,172952,1031587934,41.9198,1.3708,-0.9853,-1,44.8941,0.934,2.0216,1,Zmumu
51,166895,134840908,53.5883,-1.4741,2.0545,1,38.1613,-1.5737,-1.1901,-1,Zmumu
